Workflow Durchlauf ID;Workflow 1 - QCaaS;Workflow 1 - Qiskit Runtime;Workflow 1 - Qiskit Runtime - Mit Provenance;Workflow 2 - QCaaS;Workflow 2 - Qiskit Runtime;Workflow 2 - Qiskit Runtime - Mit Provenance;Workflow 4 - QCaaS;Workflow 4 - Qiskit Runtime;Workflow 7 - QCaaS;Workflow 7 - Qiskit Runtime
1;505;250;315;683;391;472;1363;752;1821;811
2;671;278;298;745;465;399;1490;698;1771;738
3;597;337;253;647;444;420;1511;817;1635;701
4;535;243;284;698;495;489;1435;771;1732;776
5;542;372;353;785;409;456;1398;685;1909;724
6;528;354;317;731;407;437;1566;732;1688;754
7;604;290;285;700;377;379;1472;746;1765;742
8;629;306;301;628;429;422;1422;791;1732;793
9;567;301;376;722;421;431;1360;729;1811;758
10;571;317;342;663;488;392;1547;773;1795;711
Median;569;303,5;308;699;425;426,5;1453,5;749;1768;748
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
